COUNTY,POPULATION,BUILDVALUE,AGRIVALUE,AREA,RISK_VALUE,RISK_SCORE,RISK_RATNG,RISK_SPCTL,EAL_SCORE,EAL_RATNG,EAL_SPCTL,EAL_VALT,EAL_VALB,EAL_VALP,EAL_VALPE,EAL_VALA,ALR_VALB,ALR_VALP,ALR_VALA,ALR_NPCTL
Hernando,194448,25645925432.0,23397739.0,722.63249448,110343819.26659624,95.54565701559021,Relatively High,61.19402985074627,95.07892293407613,Relatively Moderate,55.223880597014926,85745444.4398604,73548833.05655256,1.041795992028916,12084833.507535469,111777.87577258656,0.002867856,5.35771e-06,0.004777294,88.45558650572578
Highlands,101136,17532363122.0,225542068.0,1117.89382848,46631006.66830225,90.29589564110722,Relatively Moderate,46.2686567164179,88.82698854843701,Relatively Moderate,46.2686567164179,34559582.252550066,27437625.421962477,0.266427819,3090562.698923929,4031394.13166363,0.00156497,2.63435e-06,0.017874245,82.26555246053854
Hillsborough,1458282,203812611559.0,513396369.0,1345.38622101,656902724.1476736,99.55456570155901,Very High,95.52238805970148,99.56669761683688,Very High,95.52238805970148,533355772.47536945,427713270.88454413,8.59499598843291,99701953.46582104,5940548.125002485,0.002098561,5.89392e-06,0.011571075,83.6892602909316
Holmes,19618,2797330586.0,32352946.0,493.9843155,24457567.775165472,83.20076360165446,Relatively Moderate,31.343283582089555,78.58248220365213,Relatively Low,29.850746268656714,16714719.538976517,14643873.676554732,0.143605005,1665818.0593513504,405027.80307041074,0.005234946,7.32006e-06,0.012519039,96.47168059424327
Indian River,159719,28622011035.0,122123316.0,623.13527016,165333142.67342675,97.07286032453071,Relatively High,71.64179104477611,97.24543484989168,Relatively High,73.13432835820896,154825273.52786592,141222714.9015434,0.89983933,10438136.228981968,3164422.39734065,0.00493406,5.63389e-06,0.025911697,96.37883008356546
Jackson,47249,8012106749.0,106995101.0,964.20045111,28148235.912220027,85.8097359210945,Relatively Moderate,35.82089552238806,81.08944599195296,Relatively Low,34.32835820895522,19597500.364773523,16786128.657757446,0.088774287,1029781.7293520548,1781589.9776640339,0.002095095,1.87886e-06,0.016651136,88.3008356545961
Jefferson,14359,2318833863.0,41408138.0,679.4121874800001,6245393.848330089,49.69774101177219,Relatively Low,7.462686567164178,48.56081708449396,Very Low,8.955223880597014,5200017.677435761,3631631.2279672446,0.087857297,1019144.6463038377,549241.803164679,0.001566146,6.11862e-06,0.013264103,80.65614360878983
Lafayette,8205,1286180356.0,98515222.0,553.43897739,6616226.236091937,52.08399618199173,Relatively Low,8.955223880597014,43.299288146084805,Very Low,5.970149253731343,4536411.61139029,3271345.670888011,0.028621283,332006.8771419226,933059.0633603552,0.002543458,3.48827e-06,0.009471217,87.4342308882699
Lake,383042,58969302530.0,247429712.0,1168.44011154,102496710.34527916,95.22748965956093,Relatively Moderate,58.2089552238806,95.140823274528,Relatively Moderate,56.71641791044776,87375079.26907969,71794557.64281029,1.250400720828446,14504648.361610062,1075873.2646595803,0.00121749,3.2644e-06,0.004348198,70.00928505106778
Lee,759922,123308373524.0,119695755.0,1530.12078414,494565830.2049376,99.49093223035317,Relatively High,94.02985074626868,99.47384710615908,Relatively High,94.02985074626868,448543022.9429129,406599918.1105636,3.443208972083421,39941224.076166876,2001880.7561822273,0.003297423,4.531e-06,0.016724743,91.79820489012688
Leon,292157,46883147421.0,6348837.0,708.87743472,89123153.41045801,94.55933821189946,Relatively Moderate,53.7313432835821,94.70752089136491,Relatively Moderate,53.7313432835821,80839511.41745138,64408905.20525563,1.407141731338979,16322844.083532207,107762.1286635944,0.001373818,4.81639e-06,0.016973523,74.49705973382855
Levy,42750,4701758795.0,150255923.0,1607.0166360300002,24650515.569121376,83.26439707286033,Relatively Moderate,32.83582089552239,78.76818322500773,Relatively Low,31.343283582089555,16883683.681635752,13358394.715739075,0.149474163,1733900.2965817312,1791388.6693149798,0.002841148,3.49647e-06,0.01192225,87.92943361188486
Liberty,6344,1030846559.0,2817279.0,851.6357998200002,4807232.300209576,40.566337893732104,Very Low,1.492537313432836,35.8712472918601,Very Low,1.492537313432836,3726236.28987736,3219575.0436906437,0.040754395,472750.98558117374,33910.26060554083,0.003123234,6.42409e-06,0.012036529,91.14825131538224
Madison,17964,2579237774.0,101242344.0,722.91785631,12083290.318513496,70.3468024180719,Relatively Low,17.91044776119403,62.395543175487475,Relatively Low,13.432835820895525,8187248.724538961,6359918.499121134,0.069298464,803862.1791425829,1023468.0462752482,0.002465813,3.85763e-06,0.010109091,86.93902816465491
Manatee,399485,66720275922.0,413030818.0,973.76323902,269991363.9011351,98.44097995545657,Relatively High,85.07462686567165,98.42154131847725,Relatively High,83.5820895522388,233006662.99920532,197774419.43365565,2.388376351159565,27705165.673451055,7527077.892098446,0.002964233,5.97864e-06,0.01822401,90.65304859176725
Marion,375566,56232557503.0,166815176.0,1679.44755381,133438067.60314484,96.24562519885461,Relatively High,67.16417910447761,95.75982667904674,Relatively High,67.16417910447761,103075408.09557444,86065804.14155687,1.297869174174654,15055282.42042599,1954321.533591926,0.001530533,3.45577e-06,0.01171549,77.93252862890746
Martin,158246,29323001287.0,129094252.0,760.72731111,143741856.4027113,96.53197581928094,Relatively High,68.65671641791045,96.56453110492109,Relatively High,70.1492537313433,130294331.19127461,118034027.30394971,0.807793132,9370400.334781306,2889903.5525437105,0.004025305,5.10467e-06,0.022385997,94.52181987000928
Miami-Dade,2698679,319574411037.0,960869503.0,2413.44201345,1301109036.782902,99.80909958638243,Very High,100.0,99.78334880841845,Very High,100.0,959496229.180518,802495653.6007342,10.796305325054444,125237141.7706318,31763433.809155747,0.002511139,4.00059e-06,0.033056969,86.8461776539771
Monroe,82390,18080802414.0,4513371.0,5342.96471592,122306359.22103828,95.92745784282533,Relatively High,65.67164179104478,95.45032497678736,Relatively High,61.19402985074627,97291381.48769379,89963435.20643075,0.622769916,7224131.029020432,103815.25224262742,0.004975633,7.5588e-06,0.02300171,97.64778706282885
Nassau,90123,14186948286.0,14772357.0,733.24903665,24270008.017279632,83.07349665924276,Relatively Moderate,29.850746268656714,84.43206437635406,Relatively Moderate,38.80597014925373,23842704.534004234,20868503.40849947,0.248962495,2887964.9395723534,86236.18593238223,0.001470965,2.76247e-06,0.005837673,77.71587743732591
Okaloosa,211293,35973926628.0,9553076.0,1259.27485359,186294068.37587157,97.4228444161629,Relatively High,73.13432835820896,97.49303621169916,Relatively High,76.11940298507463,162979344.85225028,144757455.94011086,1.557570554963221,18067818.43757338,154070.4745661555,0.004023955,7.37161e-06,0.016127839,94.39801918910554
Okeechobee,39455,6060951510.0,270582350.0,900.91979913,34421129.91444843,87.59147311485842,Relatively Moderate,37.3134328358209,84.0297121634169,Relatively Moderate,35.82089552238806,23318430.7668868,15952849.34792196,0.138219542,1603346.6815780166,5762234.737386806,0.00263207,3.50322e-06,0.021295679,91.48870318786754
Orange,1428790,232470356635.0,266063973.0,1013.56463052,304674883.3902721,98.56824689786829,Relatively High,86.56716417910447,98.57629216960694,Relatively High,85.07462686567165,251714974.74562404,209994301.34814504,3.300801570104816,38289298.213215865,3431375.184263843,0.000903316,2.31021e-06,0.012896805,59.95047972763851
Osceola,387795,50457855255.0,97993704.0,1521.1809732600002,99847930.13472934,95.13203945275215,Relatively Moderate,56.71641791044776,94.45991952955741,Relatively Moderate,52.23880597014925,76157125.43653044,61517598.839395255,1.17397152145327,13618069.64885792,1021456.9482772418,0.001219188,3.0273e-06,0.0104237,68.95697926338596
Palm Beach,1489461,238567827560.0,1034305981.0,2407.25980599,1064699260.0898334,99.71364937957365,Very High,97.01492537313432,99.72144846796658,Very High,97.01492537313432,905373060.0811985,820336672.033982,5.779248039703868,67039277.26056094,17997110.786647156,0.003438589,3.88009e-06,0.017400181,92.54100897554936
Pasco,561566,89801808621.0,74531863.0,1025.00220264,354534129.00459063,99.04549793191218,Relatively High,89.55223880597015,98.8238935314144,Relatively High,88.05970149253731,279727860.381593,241619776.56960747,3.239007422227678,37572486.09784105,535597.714144088,0.002690589,5.76781e-06,0.007186158,88.98173939956669
